run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
4,depth_k,ex6_1_4.bch,-0.294362,108,0.068913,NA,NA,1,51,51,0,53,53
0,depth_k,ex6_1_4.bch,-0.294467,128,0.074841,NA,NA,1,61,61,0,63,63
5,depth_k,ex6_1_4.bch,-0.294318,118,0.075784,NA,NA,1,56,56,0,58,58
2,depth_k,ex6_1_4.bch,-0.294459,118,0.078199,NA,NA,1,57,57,0,59,59
1,depth_k,ex6_1_4.bch,-0.294521,128,0.081372,NA,NA,1,64,64,0,66,66
3,depth_k,ex6_1_4.bch,-0.294364,136,0.083201,NA,NA,1,66,66,0,68,68
6,depth_k,ex6_1_4.bch,-0.294318,118,0.074659,NA,NA,1,56,56,0,58,58
8,depth_k,ex6_1_4.bch,-0.294474,132,0.079069,NA,NA,1,65,65,0,67,67
9,depth_k,ex6_1_4.bch,-0.294426,134,0.079034,NA,NA,1,65,65,0,67,67
7,depth_k,ex6_1_4.bch,-0.294497,222,0.138507,NA,NA,1,136,136,0,138,138
