run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,vol_k_rand,bearing.bch,1.95107,11474,11.3599,NA,NA,1,10542,0,10542,10563,21
5,vol_k_rand,bearing.bch,1.95158,10302,11.6228,NA,NA,1,9298,0,9298,9321,23
3,vol_k_rand,bearing.bch,1.95112,11212,12.2128,NA,NA,1,9937,0,9937,9965,28
0,vol_k_rand,bearing.bch,1.95111,14434,15.0081,NA,NA,1,13108,0,13108,13130,22
4,vol_k_rand,bearing.bch,1.95122,14704,15.1423,NA,NA,1,13326,0,13326,13380,54
6,vol_k_rand,bearing.bch,1.95114,10356,11.9572,NA,NA,1,9327,0,9327,9351,24
2,vol_k_rand,bearing.bch,1.95115,25340,23.3418,NA,NA,1,23243,0,23243,23311,68
7,vol_k_rand,bearing.bch,1.95178,12904,13.9512,NA,NA,1,11760,0,11760,11810,50
9,vol_k_rand,bearing.bch,1.9512,16682,16.6393,NA,NA,1,14980,0,14980,15032,52
8,vol_k_rand,bearing.bch,1.9511,22278,20.678,NA,NA,1,20390,0,20390,20468,78
