run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
2,vol_k_rand,alkyl.bch,-1.76331,136,0.158376,NA,NA,1,114,0,114,114,0
3,vol_k_rand,alkyl.bch,-1.76444,150,0.170287,NA,NA,1,134,0,134,134,0
4,vol_k_rand,alkyl.bch,-1.76451,158,0.184648,NA,NA,1,140,0,140,141,1
5,vol_k_rand,alkyl.bch,-1.76451,158,0.186897,NA,NA,1,140,0,140,141,1
1,vol_k_rand,alkyl.bch,-1.76362,186,0.223069,NA,NA,1,164,0,164,165,1
0,vol_k_rand,alkyl.bch,-1.76362,186,0.224574,NA,NA,1,165,0,165,165,0
6,vol_k_rand,alkyl.bch,-1.76457,144,0.17442,NA,NA,1,129,0,129,129,0
7,vol_k_rand,alkyl.bch,-1.76358,152,0.176784,NA,NA,1,133,0,133,135,2
8,vol_k_rand,alkyl.bch,-1.76358,152,0.177952,NA,NA,1,135,0,135,135,0
9,vol_k_rand,alkyl.bch,-1.76495,152,0.179951,NA,NA,1,136,0,136,136,0
