run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
1,depth_k_rand,ex6_2_11.bch,-2.67238e-06,44326,15.803,NA,NA,1,22157,22157,0,22163,22163
4,depth_k_rand,ex6_2_11.bch,-2.67233e-06,41800,15.8064,NA,NA,1,20893,20893,0,20899,20899
0,depth_k_rand,ex6_2_11.bch,-2.67215e-06,42974,15.8534,NA,NA,1,21472,21472,0,21486,21486
3,depth_k_rand,ex6_2_11.bch,-2.67235e-06,43976,15.9094,NA,NA,1,21981,21981,0,21987,21987
2,depth_k_rand,ex6_2_11.bch,-2.67238e-06,44326,15.9399,NA,NA,1,22149,22149,0,22163,22163
5,depth_k_rand,ex6_2_11.bch,-2.67238e-06,44334,15.9705,NA,NA,1,22152,22152,0,22166,22166
8,depth_k_rand,ex6_2_11.bch,-2.67235e-06,41924,15.7354,NA,NA,1,20955,20955,0,20961,20961
6,depth_k_rand,ex6_2_11.bch,-2.67237e-06,45180,15.8735,NA,NA,1,22575,22575,0,22589,22589
7,depth_k_rand,ex6_2_11.bch,-2.67237e-06,43918,15.9053,NA,NA,1,21952,21952,0,21958,21958
9,depth_k_rand,ex6_2_11.bch,-2.67239e-06,41990,15.8748,NA,NA,1,20980,20980,0,20994,20994
