run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
2,depth_k_rand,alkyl.bch,-1.76331,136,0.157457,NA,NA,1,107,107,0,114,114
3,depth_k_rand,alkyl.bch,-1.76444,150,0.171777,NA,NA,1,130,130,0,134,134
5,depth_k_rand,alkyl.bch,-1.76451,158,0.184422,NA,NA,1,134,134,0,141,141
4,depth_k_rand,alkyl.bch,-1.76451,158,0.185194,NA,NA,1,137,137,0,141,141
0,depth_k_rand,alkyl.bch,-1.76362,186,0.223899,NA,NA,1,158,158,0,165,165
1,depth_k_rand,alkyl.bch,-1.76362,186,0.225021,NA,NA,1,161,161,0,165,165
6,depth_k_rand,alkyl.bch,-1.76457,144,0.174982,NA,NA,1,122,122,0,129,129
7,depth_k_rand,alkyl.bch,-1.76358,152,0.177983,NA,NA,1,131,131,0,135,135
8,depth_k_rand,alkyl.bch,-1.76358,152,0.176769,NA,NA,1,131,131,0,135,135
9,depth_k_rand,alkyl.bch,-1.76495,152,0.177654,NA,NA,1,130,130,0,136,136
