run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
3,vol_k_rand,alkylbis.bch,-1.76398,156,0.164615,NA,NA,1,133,0,133,133,0
4,vol_k_rand,alkylbis.bch,-1.76383,156,0.166333,NA,NA,1,137,0,137,138,1
2,vol_k_rand,alkylbis.bch,-1.76344,168,0.179607,NA,NA,1,145,0,145,145,0
5,vol_k_rand,alkylbis.bch,-1.76383,156,0.167565,NA,NA,1,138,0,138,138,0
0,vol_k_rand,alkylbis.bch,-1.76432,170,0.184395,NA,NA,1,156,0,156,156,0
1,vol_k_rand,alkylbis.bch,-1.76432,170,0.18362,NA,NA,1,156,0,156,156,0
9,vol_k_rand,alkylbis.bch,-1.76438,114,0.126974,NA,NA,1,98,0,98,98,0
7,vol_k_rand,alkylbis.bch,-1.76365,142,0.153653,NA,NA,1,125,0,125,125,0
8,vol_k_rand,alkylbis.bch,-1.76365,142,0.154761,NA,NA,1,123,0,123,125,2
6,vol_k_rand,alkylbis.bch,-1.76377,156,0.164667,NA,NA,1,134,0,134,134,0
