run,variant,problem,best_value,nodes,elapsed,max_depth,avg_depth,optimal,triggers,triggers_depth,triggers_vol,vol_eval,vol_nonfinite
5,vol_k_rand,ex2_1_8.bch,15639,304,1.25277,NA,NA,1,143,0,143,151,8
3,vol_k_rand,ex2_1_8.bch,15639,306,1.2756,NA,NA,1,148,0,148,152,4
4,vol_k_rand,ex2_1_8.bch,15639,324,1.32134,NA,NA,1,160,0,160,161,1
0,vol_k_rand,ex2_1_8.bch,15639,312,1.33913,NA,NA,1,149,0,149,155,6
1,vol_k_rand,ex2_1_8.bch,15639,386,1.57174,NA,NA,1,191,0,191,192,1
2,vol_k_rand,ex2_1_8.bch,15639,386,1.58038,NA,NA,1,185,0,185,192,7
6,vol_k_rand,ex2_1_8.bch,15639,352,1.414,NA,NA,1,172,0,172,175,3
9,vol_k_rand,ex2_1_8.bch,15639,354,1.42408,NA,NA,1,176,0,176,176,0
8,vol_k_rand,ex2_1_8.bch,15639,386,1.53025,NA,NA,1,192,0,192,192,0
7,vol_k_rand,ex2_1_8.bch,15639,380,1.59316,NA,NA,1,188,0,188,189,1
